web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659740518-2956","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739718-2824","https://www.zillow.com/rodanthe-nc/for-sale/","24192 Ocean Dr S, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24192-Ocean-Dr-S-Rodanthe-NC-27968/2079378225_zpid/","Built in 1980","10,006 sqft","Property detailsParkingParking features: Off StreetPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Patio, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach AccessFrontage length: Roadfront: 81Has waterview: YesWaterview: OceanLotLot size: 10,006 sqftLot size dimensions: 80.5  x  133.6  x  82.6  x  115Lot features: Irregular TerrainOther property informationZoning description: S-1","4","2","1,174","24192 Ocean Dr S, Rodanthe, NC 27968","$587,000","$587,000","",""
"1659740518-2967","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739707-2821","https://www.zillow.com/rodanthe-nc/for-sale/","24052 Dean Ave, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24052-Dean-Ave-Rodanthe-NC-27968/243986971_zpid/","Built in 1986","No data","Property detailsParkingParking features: No Garage, Off Street, UnpavedPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot features: LevelOther property informationParcel number: 01262700001Zoning description: Res","4","2","1,681","24052 Dean Ave, Rodanthe, NC 27968","$670,000","$670,000","",""
"1659740518-2964","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739673-2811","https://www.zillow.com/rodanthe-nc/for-sale/","22063 Sea Gull St, Rodanthe, NC 27968","https://www.zillow.com/homedetails/22063-Sea-Gull-St-Rodanthe-NC-27968/2071503865_zpid/","Built in 1999","No data","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessFrontage length: Waterfront: 75,Roadfront: 75Has waterview: YesWaterview: Ocean,SoundLotLot features: Adj. To Common AreaOther property informationZoning description: Res","5","6","2,877","22063 Sea Gull St, Rodanthe, NC 27968","$1,195,000","$1,195,000","",""
"1659739946-2876","https://www.zillow.com/avon-nc/for-sale/","0 State Highway 12 LOT 3, Avon, NC 27915","https://www.zillow.com/homedetails/0-State-Highway-12-LOT-3-Avon-NC-27915/2077696073_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Askins Creek","9","null","null","0 State Highway 12 LOT 3, Avon, NC 27915","$675,000","$675,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739872-2864","https://www.zillow.com/frisco-nc/for-sale/","54140 State Highway 12, Frisco, NC 27936","https://www.zillow.com/homedetails/54140-State-Highway-12-Frisco-NC-27936/2062256200_zpid/","Built in 2022","1.32 Acres","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Salt Marsh, SoundWaterfront features: Soundfront, WaterfrontHas waterview: YesWaterview: Salt Marsh,SoundLotLot size: 1.32 AcresLot features: LevelOther property informationZoning description: S-1","4","3","1,496","54140 State Highway 12, Frisco, NC 27936","$599,000","$599,000","",""
"1659740554-2977","https://www.zillow.com/hatteras-nc/for-sale/","S Beach Ct LOT 18R, Hatteras, NC 27943","https://www.zillow.com/homedetails/S-Beach-Ct-LOT-18R-Hatteras-NC-27943/2075174343_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Live Oak Village","5","null","null","S Beach Ct LOT 18R, Hatteras, NC 27943","$140,000","$140,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740518-2947","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740534-2971","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740601-2992","https://www.zillow.com/hatteras-nc/for-sale/","0 Lighthouse Ct LOT 2, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Lighthouse-Ct-LOT-2-Hatteras-NC-27943/2062633065_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hosfelt S/D","null","null","null","0 Lighthouse Ct LOT 2, Hatteras, NC 27943","$225,000","$225,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740011-2896","https://www.zillow.com/avon-nc/for-sale/","42157 Park Dr LOT 4, Avon, NC 27915","https://www.zillow.com/homedetails/42157-Park-Dr-LOT-4-Avon-NC-27915/2063180017_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Askins Creek Sec 2 & 3","0","null","null","42157 Park Dr LOT 4, Avon, NC 27915","$160,000","$160,000","",""
"1659740008-2895","https://www.zillow.com/avon-nc/for-sale/","39006 Drum Rd, Avon, NC 27915","https://www.zillow.com/homedetails/39006-Drum-Rd-Avon-NC-27915/228618483_zpid/","Built in 1976","0.45 Acres","Property detailsParkingTotal spaces: 2Parking features: 2 Car, Detached, Off Street, UnpavedGarage spaces: 2PropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Canal, SoundWaterfront features: Canal Front, Bulkheaded, WaterfrontFrontage length: Waterfront: 160Has waterview: YesWaterview: Canal,SoundLotLot size: 0.45 AcresLot size dimensions: 19500Other property informationParcel number: 013843000Zoning description: R-1","4","3","2,357","39006 Drum Rd, Avon, NC 27915","$849,000","$849,000","",""
"1659740666-3012","https://www.zillow.com/hatteras-nc/for-sale/","57219 Island Club Ln, Hatteras, NC 27943","https://www.zillow.com/homedetails/57219-Island-Club-Ln-Hatteras-NC-27943/86654507_zpid/","Built in 2000","No data","Property detailsParkingParking features: No Garage, Off Street, PavedPropertyPool features: NoneExterior features: Lighting, StoragePatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Creek/StreamWaterfront features: Canal Front, WaterfrontFrontage length: Waterfront: 66Has waterview: YesWaterview: Creek/StreamLotLot features: Irregular TerrainOther property informationParcel number: 015886000Zoning description: R-2-AH","3","2","1,176","57219 Island Club Ln, Hatteras, NC 27943","$447,975","$447,975","",""
"1659740582-2986","https://www.zillow.com/hatteras-nc/for-sale/","57035 Kohler Dr, Hatteras, NC 27943","https://www.zillow.com/homedetails/57035-Kohler-Dr-Hatteras-NC-27943/2077031547_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: None","0","null","null","57035 Kohler Dr, Hatteras, NC 27943","$125,000","$125,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740111-2925","https://www.zillow.com/avon-nc/for-sale/","40177 Jarvis Gray Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40177-Jarvis-Gray-Ln-Avon-NC-27915/86652834_zpid/","Built in 1984","9,000 sqft","Property detailsParkingParking features: PavedPropertyPool features: NoneExterior features: StoragePatio and porch details: Sun DeckFencing: FencedWaterfront features: NoneResidential vegetation: WoodedLotLot size: 9,000 sqftLot size dimensions: 93'  x  100'Lot features: Level, LandscapedOther property informationParcel number: 014388000Zoning description: R-2A","4","2","1,248","40177 Jarvis Gray Ln, Avon, NC 27915","$369,000","$369,000","",""
"1659740518-2959","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740097-2921","https://www.zillow.com/avon-nc/for-sale/","42278 Greenwood Pl, Avon, NC 27915","https://www.zillow.com/homedetails/42278-Greenwood-Pl-Avon-NC-27915/228632238_zpid/","Built in 1987","0.25 Acres","Property detailsParkingParking features: No Garage, Off Street, Paved, Underground, UnpavedHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 0.25 AcresLot features: LevelOther property informationParcel number: 027818092Zoning description: R-1","4","3","1,568","42278 Greenwood Pl, Avon, NC 27915","$654,900","$654,900","",""
"1659739818-2848","https://www.zillow.com/frisco-nc/for-sale/","54078 Tides Edge Ln, Frisco, NC 27936","https://www.zillow.com/homedetails/54078-Tides-Edge-Ln-Frisco-NC-27936/2065590818_zpid/","Built in 2003","0.34 Acres","Property detailsParkingParking features: Off Street, PavedPropertyPrivate pool: YesPool features: Heated, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.34 AcresLot features: Cul-De-Sac, LevelOther property informationZoning description: Res","7","8","3,912","54078 Tides Edge Ln, Frisco, NC 27936","$999,000","$999,000","",""
"1659740617-2997","https://www.zillow.com/hatteras-nc/for-sale/","57444 State Highway 12, Hatteras, NC 27943","https://www.zillow.com/homedetails/57444-State-Highway-12-Hatteras-NC-27943/2067676990_zpid/","Built in 2005","$295 price/sqft","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: Association Pool, Concrete, Outdoor Pool, AssociationExterior features: Lighting, StorageView description: Canal, Creek/Stream, Salt Marsh, SoundWaterfront features: Creekfront, Bulkheaded, WaterfrontHas waterview: YesWaterview: Canal,Creek/Stream,Salt Marsh,SoundLotLot features: Corner LotOther property informationAttached to another structure: YesZoning description: RES","2","3","1,272","57444 State Highway 12, Hatteras, NC 27943","$375,000","$375,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
