web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659560631-1912","https://www.zillow.com/avon-nc/sold/","41183 Lakeside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41183-Lakeside-Dr-Avon-NC-27915/228619245_zpid/","2004","2,500 sqft","Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: Cement / ConcreteLotLot size: 2,500 sqftOther property informationParcel number: 014822116","6","4","3,100","11/25/2020","41183 Lakeside Dr, Avon, NC 27915","$449,000","$449,000","Chevron Right","https://www.zillow.com/avon-nc/sold/11_p/"
"1659565722-2339","https://www.zillow.com/hatteras-nc/sold/","null","null","","","","null","null","null","null","null","null","","",""
"1659566520-2457","https://www.zillow.com/hatteras-nc/sold/","56191 Borgobello Ln, Hatteras, NC 27943","https://www.zillow.com/homedetails/56191-Borgobello-Ln-Hatteras-NC-27943/2079784288_zpid/","2003","0.37 Acres","Property detailsParkingParking features: CarportPropertyPrivate pool: YesSpa included: YesLotLot size: 0.37 Acres","4","5","2,661","07/02/2020","56191 Borgobello Ln, Hatteras, NC 27943","$535,000","$535,000","Chevron Right","https://www.zillow.com/hatteras-nc/sold/8_p/"
"1659552072-945","https://www.zillow.com/rodanthe-nc/","24502 State Highway 12 #32, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24502-State-Highway-12-32-Rodanthe-NC-27968/228617501_zpid/","2009","null","Property detailsPropertyExterior features: OtherLotLot size: 3.40 AcresOther property informationParcel number: 012815008","3","3","1,584","08/11/2021","24502 State Highway 12 #32, Rodanthe, NC 27968","$515,000","$515,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/3_p/"
"1659566200-2361","https://www.zillow.com/hatteras-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/hatteras-nc/sold/3_p/"
"1659560580-1893","https://www.zillow.com/avon-nc/sold/","41262 Ocean View Dr LOT 34, Avon, NC 27915","https://www.zillow.com/homedetails/41262-Ocean-View-Dr-LOT-34-Avon-NC-27915/2076058436_zpid/","1990","0.34 Acres","Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesPropertyPool features: Association Pool, AssociationSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Patio, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: LevelOther property informationZoning description: RES","5","4","2,754","11/06/2020","41262 Ocean View Dr LOT 34, Avon, NC 27915","$375,000","$375,000","Chevron Right","https://www.zillow.com/avon-nc/sold/12_p/"
"1659564921-2300","https://www.zillow.com/buxton-nc/sold/","47649 Buxton Back Rd, Kitty Hawk, NC 27920","https://www.zillow.com/homedetails/47649-Buxton-Back-Rd-Kitty-Hawk-NC-27920/247063014_zpid/","1976","10.05 Acres","Property detailsPropertyPrivate pool: YesLotLot size: 10.05 AcresOther property informationParcel number: 016776000","null","null","2,888","03/18/2021","47649 Buxton Back Rd, Kitty Hawk, NC 27920","$3.65M","$3,650,000","Chevron Right","https://www.zillow.com/buxton-nc/sold/2_p/"
"1659559942-1641","https://www.zillow.com/avon-nc/sold/","42184 Shallow Point Dr, Avon, NC 27915","https://www.zillow.com/homedetails/42184-Shallow-Point-Dr-Avon-NC-27915/86653527_zpid/","1990","0.34 Acres","Property detailsParkingTotal spaces: 6Parking features: Carport, Off-streetPropertyExterior features: Shingle, Wood productsView description: Water, CityHas waterview: YesWaterview: WaterLotLot size: 0.34 AcresOther property informationParcel number: 014875015","3","3","1,508","11/06/2019","42184 Shallow Point Dr, Avon, NC 27915","$265,000","$265,000","Chevron Right","https://www.zillow.com/avon-nc/sold/18_p/"
"1659559856-1609","https://www.zillow.com/avon-nc/sold/","41175 Channel Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41175-Channel-Ct-Avon-NC-27915/250252116_zpid/","1992","0.31 Acres","Property detailsPropertyExterior features: OtherLotLot size: 0.31 AcresOther property informationParcel number: 014822715","3","2.5","1,719","08/06/2019","41175 Channel Ct, Avon, NC 27915","$235,000","$235,000","Chevron Right","https://www.zillow.com/avon-nc/sold/19_p/"
"1659551677-792","https://www.zillow.com/rodanthe-nc/","22195 Green Lantern Ct #3, Rodanthe, NC 27968","https://www.zillow.com/homedetails/22195-Green-Lantern-Ct-3-Rodanthe-NC-27968/2076063544_zpid/","1991","0.57 Acres","Property detailsParkingParking features: Off Street, PavedPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Outdoor Tennis, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, Salt Marsh, SoundWaterfront features: 2 - lots from oceanfront (3rd ro, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 0.57 AcresLot features: Adj to Park Serv./Preserv, Cul-De-Sac, LevelOther property informationZoning description: S1","6","5","2,962","09/14/2020","22195 Green Lantern Ct #3, Rodanthe, NC 27968","$430,000","$430,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/7_p/"
