StreetAddress,ListingLink-href,YearBuilt,LotSize,Bedrooms,Bathrooms,Size,DateSold,Price,City,Zip,PropertyDetails,PrivatePool,OceanFront,SoundFront,CanalFront,BeachAccess,WaterView,LotsFromOceanFront,MonthsSold
22000 Sixteenth Of August St,https://www.zillow.com/homedetails/22000-Sixteenth-Of-August-St-Rodanthe-NC-27982/228617358_zpid/,2000,0.61,6.0,6.0,2840.0,2021-10-29,725000.0,Waves,27982,"Property detailsPropertyPrivate pool: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.61 AcresOther property informationParcel number: 012458303, Property detailsParkingParking features: No Garage, Paved, UndergroundHas garage: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot features: Level, LandscapedOther property informationZoning description: Res",1,0,0,0,1,1,0,10.476135363249531
22025 Sea Gull St,https://www.zillow.com/homedetails/22025-Sea-Gull-St-Rodanthe-NC-27968/2071130056_zpid/,1990,0.2066115702479339,4.0,3.0,2008.0,2022-05-16,856489.0,Rodanthe,27968,"Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 9,000 sqftLot features: LevelOther property informationZoning description: Res",0,1,0,0,1,1,0,3.938013430560974
22035 Sea Gull St,https://www.zillow.com/homedetails/22035-Sea-Gull-St-Rodanthe-NC-27982/228617352_zpid/,2002,0.2295684113865932,6.0,4.0,3429.0,2021-04-07,450000.0,Rodanthe,27982,"Property detailsParkingParking features: No Garage, Off Street, UnpavedPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 10,000 sqftLot features: LevelOther property informationParcel number: 012458003Zoning description: Res",0,1,0,0,1,1,0,17.21138660044126
22050 Sixteenth Of August St,https://www.zillow.com/homedetails/22050-Sixteenth-Of-August-St-LOT-6-Rodanthe-NC-27968/2076059838_zpid/,1999,0.56,6.0,6.0,2780.0,2020-11-25,525000.0,Rodanthe,27982,"Property detailsParkingParking features: Off StreetPropertyPrivate pool: YesPool features: In Ground, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Sun DeckView description: Ocean, SoundWaterfront features: 2 - lots from oceanfront (3rd roHas waterview: YesWaterview: Ocean,SoundLotLot features: Cul-De-Sac, LevelOther property informationZoning description: Res, Property detailsPropertyPrivate pool: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.56 AcresOther property informationParcel number: 012458306",1,0,0,0,0,1,1,21.581086183594916
22050 Sixteenth of August St,https://www.zillow.com/homedetails/22050-Sixteenth-Of-August-St-Waves-NC-27982/2067186746_zpid/,1999,0.0,6.0,6.0,2780.0,2020-11-25,525000.0,Rodanthe,27968,Property detailsParkingParking features: ConcreteOther parking information: Other- See RemarksPropertyPrivate pool: YesPool features: In GroundSpa included: YesSpa features: HeatedView description: WaterWaterview: WaterOther property informationSpecial conditions: Standard,1,0,0,0,0,0,0,21.581086183594916
22066 Sixteenth Of August St,https://www.zillow.com/homedetails/22066-Sixteenth-Of-August-St-Waves-NC-27982/86650885_zpid/,1999,0.55,6.0,6.0,2780.0,2021-04-01,525000.0,Waves,27982,"Property detailsParkingParking features: No Garage, Off Street, Paved, UndergroundHas garage: YesPropertyPrivate pool: YesPool features: Indoor, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Outdoor Tennis, Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered DecksView description: Ocean, Salt Marsh, SoundWaterfront features: 2 - lots from oceanfront (3rd roHas waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 0.55 AcresOther property informationParcel number: 012458307Zoning description: S-1",1,0,0,0,0,1,1,17.408515904944434
22097 Sea Gull St,https://www.zillow.com/homedetails/22097-Sea-Gull-St-Rodanthe-NC-27982/228617354_zpid/,2004,0.28,8.0,7.0,4086.0,2021-05-03,678000.0,Rodanthe,27982,"Property detailsParkingParking features: Off Street, PavedPropertyPool features: NoneExterior features: LightingPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.28 AcresLot size dimensions: 75  x  160Lot features: LevelOther property informationParcel number: 012458007Zoning description: RES",0,1,0,0,1,1,0,16.357159614260844
22190 Green Lantern Ct,https://www.zillow.com/homedetails/22190-Green-Lantern-Ct-Waves-NC-27982/228617364_zpid/,2005,0.62,8.0,8.0,4725.0,2022-03-15,500.0,Waves,27982,"Property detailsParkingParking features: Off-streetPropertyPrivate pool: YesSpa included: YesExterior features: Cement / Concrete, CompositionView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.62 AcresOther property informationParcel number: 012459012",1,0,0,0,0,1,0,5.975016243760424
22192 Green Lantern,https://www.zillow.com/homedetails/22192-Green-Lantern-Rodanthe-NC-27968/2080744299_zpid/,0,0.0,8.0,6.0,3756.0,2020-03-02,485000.0,Rodanthe,27968,nan,0,0,0,0,0,0,0,30.386195118069956
22192 Green Lantern Ct,https://www.zillow.com/homedetails/22192-Green-Lantern-Ct-Rodanthe-NC-27968/2106520692_zpid/,2004,0.51,8.0,8.0,3756.0,2020-03-02,485000.0,Waves,27982,"Property detailsParkingParking features: CarportPropertyPrivate pool: YesSpa included: YesExterior features: Cement / ConcreteView description: ParkLotLot size: 0.51 Acres, Property detailsPropertyPrivate pool: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.51 AcresOther property informationParcel number: 012459013",1,0,0,0,0,1,0,30.386195118069956
