web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link
"1662995591-1","https://www.zillow.com/avon-nc/sold/","41018 Channel Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41018-Channel-Ct-Avon-NC-27915/228619376_zpid/","1994","0.29 Acres","Property detailsParkingParking features: PavedPropertyPrivate pool: YesPool features: Fiberglass, In Ground, Private Pool, PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Lake/River, OceanWaterfront features: Lake Front, Beach AccessResidential vegetation: WoodedHas waterview: YesWaterview: Lake/River,OceanLotLot size: 0.29 AcresLot size dimensions: Cul-de-SacLot features: Cul-De-Sac, LevelOther property informationParcel number: 014822731Zoning description: Res","4","3","1,716","03/23/2021","41018 Channel Ct, Avon, NC 27915","$349,900","$349,900"
"1662995602-2","https://www.zillow.com/avon-nc/sold/","40166 Westerly Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40166-Westerly-Ln-Avon-NC-27915/2081510692_zpid/","","","","","","","11/12/2021","40166 Westerly Ln, Avon, NC 27915","$50,000","$50,000"
"1662995612-3","https://www.zillow.com/avon-nc/sold/","40235 Ellwood Ct, Avon, NC 27915","https://www.zillow.com/homedetails/40235-Ellwood-Ct-Avon-NC-27915/228618091_zpid/","1979","6,000 sqft","Property detailsParkingParking features: Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: LightingPatio and porch details: Patio, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 6,000 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 013426000Zoning description: R-1","3","3","1,008","06/24/2022","40235 Ellwood Ct, Avon, NC 27915","$399,000","$399,000"
"1662995622-4","https://www.zillow.com/avon-nc/sold/","41505 Portside Drive #LOT 32, Avon, NC 27915","https://www.zillow.com/homedetails/41505-Portside-Drive-LOT-32-Avon-NC-27915/2096009193_zpid/","","","","","","","02/08/2022","41505 Portside Drive #LOT 32, Avon, NC 27915","$60,000","$60,000"
"1662995632-5","https://www.zillow.com/avon-nc/sold/","41941 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41941-Ocean-View-Dr-Avon-NC-27915/86668947_zpid/","1996","0.44 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: LightingPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.44 AcresLot features: Corner Lot, Level, LandscapedOther property informationParcel number: 029596057Zoning description: Res","6","5","2,820","04/29/2022","41941 Ocean View Dr, Avon, NC 27915","$850,000","$850,000"
"1662995641-6","https://www.zillow.com/avon-nc/sold/","39090 Drum Rd, Avon, NC 27915","https://www.zillow.com/homedetails/39090-Drum-Rd-Avon-NC-27915/228618480_zpid/","1988","7,500 sqft","Property detailsPropertyExterior features: OtherLotLot size: 7,500 sqftOther property informationParcel number: 013839000","4","2","2,100","08/30/2021","39090 Drum Rd, Avon, NC 27915","$265,000","$265,000"
"1662995651-7","https://www.zillow.com/avon-nc/sold/","41179 Fathom Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41179-Fathom-Ct-Avon-NC-27915/308901133_zpid/","2003","0.32 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 0.32 AcresOther property informationParcel number: 014822813","7","5","3,921","01/25/2021","41179 Fathom Ct, Avon, NC 27915","$529,000","$529,000"
"1662995661-8","https://www.zillow.com/avon-nc/sold/","40234 N Beachcomber Dr, Avon, NC 27915","https://www.zillow.com/homedetails/40234-N-Beachcomber-Dr-Avon-NC-27915/228618200_zpid/","1978","6,000 sqft","Property detailsParkingParking features: Off Street, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Screened Porch, Sun DeckWaterfront features: More than 5th row, Beach Access, Boardwalk to BeachResidential vegetation: WoodedLotLot size: 6,000 sqftLot features: LevelOther property informationParcel number: 013539000Zoning description: Res","3","2","1,050","01/28/2022","40234 N Beachcomber Dr, Avon, NC 27915","$438,000","$438,000"
"1662995671-9","https://www.zillow.com/avon-nc/sold/","40263 Dolphin Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40263-Dolphin-Ln-Avon-NC-27915/228618154_zpid/","1988","5,500 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 5,500 sqftOther property informationParcel number: 013490000","3","3","1,430","04/13/2020","40263 Dolphin Ln, Avon, NC 27915","$300,000","$300,000"
"1662995681-10","https://www.zillow.com/avon-nc/sold/","40315 Williams Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40315-Williams-Rd-Avon-NC-27915/228632362_zpid/","1981","0.58 Acres","Property detailsPropertyExterior features: WoodLotLot size: 0.58 AcresOther property informationParcel number: 027914001","3","2","1,440","07/10/2020","40315 Williams Rd, Avon, NC 27915","$345,000","$345,000"
